cond,i,t_start_ms,t_end_ms,latency_ms,out_chars,out_bytes,parse_ok
A,1,1826491,1826547,56,56,100,1
B,1,1826652,1826709,56,22,66,
A,2,1826811,1826867,55,56,100,1
B,2,1826969,1827028,59,22,66,
A,3,1827131,1827199,68,56,100,1
B,3,1827301,1827357,56,22,66,
A,4,1827459,1827517,57,56,100,1
B,4,1827618,1827675,57,22,66,
A,5,1827775,1827830,54,56,100,1
B,5,1827933,1827987,54,22,66,
A,6,1828089,1828181,92,56,100,1
B,6,1828283,1828338,55,22,66,
A,7,1828438,1828504,66,56,100,1
B,7,1828606,1828660,53,22,66,
A,8,1828761,1828819,58,56,100,1
B,8,1828919,1828974,54,22,66,
A,9,1829077,1829139,62,56,100,1
B,9,1829240,1829295,54,22,66,
A,10,1829395,1829458,62,56,100,1
B,10,1829559,1829615,55,22,66,
A,11,1829716,1829771,55,56,100,1
B,11,1829876,1829933,57,22,66,
A,12,1830036,1830093,56,56,100,1
B,12,1830194,1830250,55,22,66,
A,13,1830352,1830406,53,56,100,1
B,13,1830507,1830564,57,22,66,
A,14,1830667,1830722,55,56,100,1
B,14,1830823,1830879,56,22,66,
A,15,1830981,1831040,58,56,100,1
B,15,1831140,1831196,56,22,66,
A,16,1831298,1831355,56,56,100,1
B,16,1831456,1831514,57,22,66,
A,17,1831616,1831690,74,56,100,1
B,17,1831794,1831862,68,22,66,
A,18,1831962,1832017,55,56,100,1
B,18,1832119,1832176,57,22,66,
A,19,1832277,1832335,58,56,100,1
B,19,1832435,1832490,54,22,66,
A,20,1832592,1832649,57,56,100,1
B,20,1832750,1832805,54,22,66,
A,21,1832907,1832965,57,56,100,1
B,21,1833067,1833123,56,22,66,
A,22,1833223,1833284,60,56,100,1
B,22,1833385,1833439,53,22,66,
A,23,1833540,1833596,56,56,100,1
B,23,1833698,1833756,58,22,66,
A,24,1833857,1833914,57,56,100,1
B,24,1834016,1834072,56,22,66,
A,25,1834172,1834250,77,56,100,1
B,25,1834357,1834438,80,22,66,
A,26,1834538,1834594,55,56,100,1
B,26,1834695,1834750,55,22,66,
A,27,1834850,1834905,55,56,100,1
B,27,1835006,1835064,57,22,66,
A,28,1835164,1835219,55,56,100,1
B,28,1835321,1835375,54,22,66,
A,29,1835478,1835536,57,56,100,1
B,29,1835638,1835692,53,22,66,
A,30,1835793,1835851,57,56,100,1
B,30,1835954,1836009,55,22,66,
A,31,1836113,1836180,66,56,100,1
B,31,1836280,1836354,74,22,66,
A,32,1836455,1836509,54,56,100,1
B,32,1836610,1836665,55,22,66,
A,33,1836767,1836823,55,56,100,1
B,33,1836924,1836980,56,22,66,
A,34,1837083,1837139,55,56,100,1
B,34,1837241,1837297,55,22,66,
A,35,1837397,1837454,57,56,100,1
B,35,1837555,1837612,56,22,66,
A,36,1837713,1837784,71,56,100,1
B,36,1837885,1837941,56,22,66,
A,37,1838044,1838103,58,56,100,1
B,37,1838203,1838257,54,22,66,
A,38,1838357,1838424,66,56,100,1
B,38,1838527,1838584,57,22,66,
A,39,1838685,1838761,75,56,100,1
B,39,1838862,1838917,55,22,66,
A,40,1839020,1839090,69,56,100,1
B,40,1839192,1839248,56,22,66,
A,41,1839350,1839423,72,56,100,1
B,41,1839525,1839583,57,22,66,
A,42,1839683,1839741,57,56,100,1
B,42,1839841,1839913,71,22,66,
A,43,1840015,1840073,57,56,100,1
B,43,1840176,1840230,54,22,66,
A,44,1840330,1840391,60,56,100,1
B,44,1840492,1840551,58,22,66,
A,45,1840652,1840713,60,56,100,1
B,45,1840813,1840877,63,22,66,
A,46,1840979,1841035,56,56,100,1
B,46,1841137,1841192,55,22,66,
